College,Code
Alabama A & M University,100200
University of Alabama at Birmingham,105200
University of Alabama in Huntsville,105500
Alabama State University,100500
The University of Alabama,105100
Central Alabama Community College,100700
Athens State University,100800
Auburn University at Montgomery,831000
Auburn University,100900
Birmingham-Southern College,101200
Chattahoochee Valley Community College,1218200
Enterprise State Community College,101500
Coastal Alabama Community College,106000
Faulkner University,100300
Gadsden State Community College,101700
George C Wallace Community College-Dothan,101800
George C Wallace State Community College-Hanceville,787100
George C Wallace State Community College-Selma,569900
Huntingdon College,101900
J. F. Drake State Community and Technical College,526000
Jacksonville State University,102000
Jefferson State Community College,102200
John C Calhoun State Community College,101300
Lawson State Community College,105900
University of West Alabama,102400
Lurleen B Wallace Community College,898800
Miles College,102800
University of Mobile,102900
University of Montevallo,100400
Northwest-Shoals Community College,569700
University of North Alabama,101600
Northeast Alabama Community College,103100
Oakwood University,103300
Bishop State Community College,103000
Samford University,103600
Shelton State Community College,569100
Snead State Community College,103800
University of South Alabama,105700
Spring Hill College,104100
Stillman College,104400
Talladega College,104600
H Councill Trenholm State Community College,573400
Troy University,104700
Tuskegee University,105000
Bevill State Community College,573300
University of Alaska Anchorage,1146200
University of Alaska Fairbanks,106300
University of Alaska Southeast,106500
Charter College,2576900
Carrington College-Phoenix North,2100600
Brookline College-Phoenix,2218800
Arizona State University Campus Immersion,108100
Arizona Western College,107100
University of Arizona,108300
Central Arizona College,728300
Cochise County Community College District,107200
Eastern Arizona College,107300
Glendale Community College,107600
Grand Canyon University,107400
GateWay Community College,830300
Mesa Community College,107700
Mohave Community College,1186400
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2100500
Dine College,824600
Northern Arizona University,108200
Northland Pioneer College,1186200
Phoenix College,107800
Pima Community College,726600
Pima Medical Institute-Tucson,2217100
Refrigeration School Inc,1168900
Rio Salado College,2177500
Scottsdale Community College,830400
South Mountain Community College,2146600
Arizona Christian University,711300
Universal Technical Institute of Arizona Inc,822100
Yavapai College,107900
University of Arkansas at Little Rock,110100
University of Arkansas for Medical Sciences,110900
Lyon College,108800
University of Arkansas,110800
University of Arkansas at Pine Bluff,108600
Arkansas State University-Beebe,109100
Arkansas State University,109000
Arkansas Tech University,108900
University of Arkansas at Monticello,108500
Baptist Health College Little Rock,3105200
Black River Technical College,2052200
University of Central Arkansas,109200
Central Baptist College,109300
Cossatot Community College of the University of Arkansas,2220900
East Arkansas Community College,1226000
National Park College,1210500
University of Arkansas Community College-Batesville,2073500
Harding University,109700
Henderson State University,109800
Hendrix College,109900
John Brown University,110000
Arkansas State University Mid-South,2348200
Arkansas Northeastern College,1286000
North Arkansas College,1226100
Ouachita Baptist University,110200
Ozarka College,2087000
University of the Ozarks,109400
University of Arkansas Community College-Morrilton,524500
Philander Smith College,110300
Phillips Community College of the University of Arkansas,110400
Southeast Arkansas College,570700
University of Arkansas-Pulaski Technical College,2075300
University of Arkansas Hope-Texarkana,573200
University of Arkansas Community College Rich Mountain,2111100
Williams Baptist University,110600
South Arkansas Community College,2074600
Southern Arkansas University Main Campus,110700
Southern Arkansas University Tech,773800
University of Arkansas-Fort Smith,111000
Academy of Art University,753100
College of Alameda,672000
Allan Hancock College,111100
American Career College-Los Angeles,2241800
American River College,123200
Antelope Valley Community College District,111300
Art Center College of Design,111600
Azusa Pacific University,111700
Bakersfield College,111800
Barstow Community College,111900
Biola University,112200
Bryan University,716400
Butte College,807300
Cabrillo College,112400
California Baptist University,112500
California College of the Arts,112700
California Institute of Technology,113100
California Lutheran University,113300
California Polytechnic State University-San Luis Obispo,114300
California State University-Bakersfield,799300
California State University-Stanislaus,115700
California State University-San Bernardino,114200
California State Polytechnic University-Pomona,114400
California State University-Chico,114600
California State University-Dominguez Hills,114100
California State University-Fresno,114700
California State University-Fullerton,113700
California State University-East Bay,113800
California State University-Long Beach,113900
California State University-Los Angeles,114000
California State University-Northridge,115300
California State University-Sacramento,115000
University of California-Berkeley,131200
University of California-Davis,131300
University of California-Irvine,131400
University of California-Los Angeles,131500
University of California-Riverside,131600
University of California-San Diego,131700
University of California-Santa Barbara,132000
University of California-Santa Cruz,132100
California Institute of the Arts,113200
California State University Maritime Academy,113400
Canada College,697300
College of the Canyons,890300
Cerritos College,116100
Cerro Coso Community College,1011100
Chabot College,116200
Chaffey College,116300
Chapman University,116400
Concordia University-Irvine,2070500
Citrus College,116600
City College of San Francisco,450200
Claremont McKenna College,117000
Clovis Adult Education,2309500
Coastline Community College,2063500
University of Silicon Valley,117700
Columbia College,770700
Columbia College Hollywood,2110200
Compton College,4281700
Contra Costa College,119000
Cosumnes River College,753600
Crafton Hills College,927200
Cuesta College,119200
Cuyamaca College,2111300
Cypress College,119300
De Anza College,448000
College of the Desert,118200
Diablo Valley College,119100
Dominican University of California,119600
East Los Angeles College,2226000
El Camino Community College District,119700
Evergreen Valley College,1245200
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,1111200
Feather River Community College District,859700
Foothill College,119900
